SKU,Lines,LooseUOH1Lines,LooseUOH1sperLooseUOH1Lines,FullUOH2Lines,FullUOH2sperFullUOH2Lines,FullUOH3Lines,FullUOH3sperFullUOH3Lines,ShipDate,1,2,3,4,A,C,M,P,R
CBIN006183X,0.0,1.0,5.0,1.0,7.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006184X,0.6931471805599453,0.0,0.0,0.5,3.0,1.0,4.5,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006185X,0.6931471805599453,0.5,4.0,0.5,12.0,0.5,1.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006186X,0.6931471805599453,0.5,1.0,0.5,12.0,0.5,1.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006187X,0.6931471805599453,0.5,6.0,1.0,13.5,1.0,1.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006188X,1.0986122886681098,0.6666666666666666,4.0,0.6666666666666666,10.0,0.6666666666666666,1.5,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006189X,0.6931471805599453,0.5,1.0,1.0,15.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006190X,1.0986122886681098,1.0,5.0,1.0,3.6666666666666665,1.0,1.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006191X,1.6094379124341003,0.8,5.0,0.8,5.0,0.6,1.3333333333333333,4,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006233X,1.9459101490553132,0.14285714285714285,6.0,1.0,6.714285714285714,1.0,2.142857142857143,7,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006234X,2.0794415416798357,0.0,0.0,1.0,7.75,1.0,1.25,8,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006236X,2.4849066497880004,0.0,0.0,1.0,8.5,0.3333333333333333,1.5,11,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006331,1.9459101490553132,1.0,3.0,0.0,0.0,0.0,0.0,5,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006337,0.6931471805599453,0.0,0.0,1.0,15.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
