SKU,Lines,LooseUOH1Lines,UOH1perLine,FullUOH2Lines,UOH2perLine,FullUOH3Lines,UOH3perLine,ShipDate,A,C,M,P,R,1,2,3,4,A_oca,P_oca,C_oca,R_oca,M_oca,EUC,MIL,OLD,36_cluster,36_of,42_cluster,42_of,46_cluster,46_of,50_cluster,50_of,39_cluster,39_of,44_cluster,44_of
AOGA005227,6,0.16666666666666666,3.0,0.3333333333333333,6.5,0.6666666666666666,1.0,6,1,0,0,0,0,0.0,0.0,0.0,1.0,0.7945205479452054,0.2054794520547945,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,0.0,1.098717889006131,0.0,1.001455267419472
AOGA005231,135,0.2814814814814815,2.236842105263158,0.5703703703703704,4.428571428571429,0.4888888888888889,1.3636363636363635,101,1,0,0,0,0,0.6,0.15555555555555556,0.1037037037037037,0.14074074074074075,0.8411458333333334,0.1579861111111111,0.0,0.0,0.0008680555555555555,117.0,1.0,17.0,-2.0,2.0957440030343766,0.0,0.9638921956189914,0.0,1.2030283541244065,0.0,0.9638921956195448,0.0,1.0074455749170683,0.0,0.9208180214024303
AOGA005234,37,0.7567567567567568,3.392857142857143,0.6486486486486487,2.8333333333333335,0.2702702702702703,1.2,34,1,0,0,0,0,0.5675675675675675,0.10810810810810811,0.10810810810810811,0.21621621621621623,0.8575342465753425,0.14246575342465753,0.0,0.0,0.0,28.0,0.0,9.0,0.0,0.9791435042221046,,,0.0,0.9458727091274186,,,0.0,1.2878688430545067,0.0,0.9981697449738107
AOGA005235,3,0.0,0.0,1.0,1.6666666666666667,1.0,7.666666666666667,3,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,0.0,1.35597140860293,,
AOGA005242,5,0.8,4.25,0.4,5.0,0.4,1.0,5,1,0,0,0,0,0.0,0.0,0.2,0.8,0.90625,0.09375,0.0,0.0,0.0,4.0,0.0,1.0,,,,,,,,,0.0,0.9959814115645628,0.0,0.9616458888513222
AOGA005243,34,0.7352941176470589,2.92,0.5,2.4705882352941178,0.23529411764705882,1.125,33,1,0,0,0,0,0.5,0.14705882352941177,0.08823529411764706,0.2647058823529412,0.8327868852459016,0.16721311475409836,0.0,0.0,0.0,24.0,0.0,10.0,0.0,1.0624499261946554,,,0.0,1.0754707053334858,,,0.0,1.0753419886425044,0.0,0.9942375044993117
AOGA005244,41,0.5853658536585366,3.875,0.4878048780487805,2.65,0.4146341463414634,1.7647058823529411,39,1,0,0,0,0,0.12195121951219512,0.024390243902439025,0.2926829268292683,0.5609756097560976,0.8004694835680751,0.19953051643192488,0.0,0.0,0.0,35.0,0.0,6.0,0.0,1.1835688786937273,,,0.0,1.0250447971533068,,,0.0,0.9948313297633943,0.0,0.9846635550736724
AOGA005249,66,0.09090909090909091,2.0,0.10606060606060606,3.857142857142857,1.0,11.242424242424242,27,1,0,0,0,0,0.3181818181818182,0.0,0.3181818181818182,0.36363636363636365,0.9859154929577465,0.014084507042253521,0.0,0.0,0.0,66.0,0.0,0.0,0.0,1.0255658991964576,,,0.0,1.0690641540132795,,,0.0,1.2212461021403962,0.0,1.3903512747816187
AOGA005251,32,0.46875,2.8,0.5,3.75,0.46875,1.4666666666666666,30,1,0,0,0,0,0.5,0.15625,0.09375,0.25,0.89198606271777,0.10801393728222997,0.0,0.0,0.0,26.0,0.0,6.0,0.0,0.9879457921085917,,,0.0,1.0121828400082464,,,0.0,1.0001092438949803,0.0,0.965930950807796
AOGA005252,1,1.0,2.0,1.0,4.0,1.0,2.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
AOGA005253,9,0.5555555555555556,2.6,0.3333333333333333,1.6666666666666667,0.5555555555555556,1.0,9,1,0,0,0,0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.8409090909090909,0.1590909090909091,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,0.0,0.9796317462173475,0.0,1.0274685678675641
AOGA005266,146,0.5136986301369864,3.2533333333333334,0.4589041095890411,2.7761194029850746,0.4041095890410959,2.016949152542373,99,1,0,0,0,0,0.17123287671232876,0.04794520547945205,0.2534246575342466,0.5273972602739726,0.8193146417445483,0.17445482866043613,0.0,0.0,0.006230529595015576,126.0,0.0,20.0,0.0,0.9961838142001771,0.0,1.0378571428573695,0.0,0.9473262069093261,0.0,1.0685714285714805,0.0,0.9949376472243288,0.0,1.0060971406059864
AOGA005267,228,0.4649122807017544,3.641509433962264,0.5263157894736842,3.0833333333333335,0.4824561403508772,1.7454545454545454,172,1,0,0,0,0,0.32456140350877194,0.10087719298245613,0.25,0.32456140350877194,0.8346456692913385,0.1643700787401575,0.0,0.0,0.000984251968503937,184.0,0.0,44.0,0.0,1.1577788390006258,0.0,0.9942396313364184,0.0,0.9597482772846313,0.0,1.0004761904758717,0.0,1.025596543499094,0.0,0.9683889853215261
AOGA005268,15,0.7333333333333333,3.0,0.7333333333333333,3.272727272727273,0.13333333333333333,1.0,15,1,0,0,0,0,0.5333333333333333,0.26666666666666666,0.0,0.2,0.8351063829787234,0.16489361702127658,0.0,0.0,0.0,13.0,0.0,2.0,,,,,,,,,0.0,1.1308198780843484,0.0,1.0601705532850523
AOGA005277,385,0.3246753246753247,3.472,0.4597402597402597,3.406779661016949,0.6181818181818182,2.327731092436975,216,1,0,0,0,0,0.35584415584415585,0.08051948051948052,0.15324675324675324,0.4103896103896104,0.85067279291106,0.148014440433213,0.0003281916639317361,0.0,0.0009845749917952085,321.0,0.0,64.0,0.0,0.9276734794332098,0.0,1.1229538870110811,0.0,1.0006717198538742,0.0,1.1229538870109423,0.0,0.9738202042919146,0.0,1.0280768058203782
AOGA005278,537,0.18994413407821228,3.6176470588235294,0.38361266294227186,3.6699029126213594,0.7746741154562383,2.735576923076923,259,1,0,0,0,0,0.38361266294227186,0.0893854748603352,0.12476722532588454,0.4022346368715084,0.8229515516856442,0.17369948649252065,0.0,0.0,0.003348961821835231,454.0,1.0,82.0,0.0,1.0035145701131207,-2.0,2.4033909021863487,-2.0,2.5609499320428553,-2.0,3.0281994585226393,0.0,1.1333126515817988,0.0,1.0135335536892984
AOGA005278X,5,0.0,0.0,0.0,0.0,1.0,2.0,4,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,,,,,,,,,0.0,0.9816632174897195,-2.0,247.6501352213103
